Wavelength (nm),PC,PH,PI,PK,chenyi_lie2,chenyi_lie15_1
539.5939,0.0,1.666666666667,11.0,33.666666666667,1.23018563492064,1.45581278911564
539.9378,7.333333333333,9.0,11.333333333333,34.333333333333,6.90476190476191,7.01360544217687
540.2817,9.0,4.666666666667,13.0,36.333333333333,7.84920634920635,7.37414965986395
540.6256,7.333333333334,6.0,16.666666666667,31.333333333334,7.65884134920635,7.58513142857142
540.9695,1.333333333333,4.0,14.0,36.0,6.44444444444445,5.55102040816327
541.3134,4.0,5.0,5.666666666667,31.0,2.43653936507936,2.42180142857143
541.6573,-0.333333333333,3.666666666667,6.0,34.333333333333,2.98412698412698,3.87074829931973
542.0012,2.333333333333,3.333333333333,10.666666666667,35.666666666667,2.91269841269841,3.10204081632653
542.3451,6.666666666667,8.666666666667,9.333333333334,36.333333333334,6.95246880952381,6.89123959183673
542.689,3.666666666667,6.0,10.0,33.0,4.20634920634921,4.03401360544218
543.0329,2.0,1.0,3.0,34.333333333334,1.61114253968254,1.5034306122449
543.3768,1.0,2.666666666667,10.333333333333,34.0,3.18253968253968,3.39455782312925
543.7207,4.0,2.333333333333,11.333333333333,39.666666666666,5.11899047619048,5.00675224489797
544.0646,2.666666666666,-2.333333333334,4.666666666666,31.666666666666,1.26187714285714,2.17004
544.4085,2.0,5.0,9.333333333333,37.0,6.88095238095238,7.37414965986395
544.7524,4.0,2.0,7.666666666667,33.0,2.91273507936508,3.23813285714285
545.0963,8.0,5.333333333333,10.666666666666,36.666666666666,4.48408031746032,4.76185551020409
545.4402,5.333333333333,5.333333333333,12.0,36.0,4.58730158730159,5.95918367346939
545.7841,4.0,2.333333333334,8.333333333334,36.0,3.02384738095238,3.36058469387755
546.128,3.0,7.333333333333,12.0,36.666666666666,5.4205834920635,5.77543952380953
546.4719,4.666666666667,1.0,7.333333333333,35.333333333333,4.69047619047619,4.62585034013605
546.8158,4.666666666667,6.333333333334,13.333333333334,37.0,6.69055571428571,6.14293843537415
547.1597,4.666666666666,8.0,10.333333333333,41.0,5.38882055555556,6.02032891156463
547.5036,6.333333333334,9.666666666667,9.666666666667,40.333333333334,7.28582476190476,7.2586075510204
547.8475,2.333333333333,0.333333333333,6.333333333333,31.333333333333,2.68253968253968,3.2108843537415
548.1914,7.0,11.333333333333,17.0,39.666666666666,9.28555261904762,9.44880156462586
548.5353,8.0,7.0,11.0,40.333333333333,10.031746031746,10.2448979591837
548.8792,5.0,4.0,9.333333333333,35.333333333333,5.91269841269841,5.37414965986395
549.2231,6.333333333333,2.0,10.0,36.666666666667,6.76190476190476,6.87755102040816
549.567,0.666666666666,7.333333333333,13.666666666666,36.333333333333,6.84117436507937,6.510118707483
549.9109,6.666666666666,5.333333333333,14.333333333333,39.333333333333,6.78562095238096,6.34005476190477
550.2548,1.0,6.0,10.0,36.0,4.67460317460318,5.31292517006803
550.5987,8.0,10.0,16.0,39.0,9.21412880952381,9.38757911564627
550.9426,4.666666666667,8.333333333333,14.0,41.666666666667,8.3015873015873,8.35374149659864
551.2865,4.333333333333,5.333333333333,12.333333333333,38.666666666667,7.3015873015873,7.25850340136054
551.6304,8.0,9.333333333334,16.333333333334,36.666666666667,7.20643825396825,8.76203993197278
551.9743,4.666666666667,5.666666666667,13.333333333333,40.333333333333,7.13492063492064,8.08163265306122
552.3182,5.0,4.0,10.0,40.333333333333,6.61111111111111,6.33333333333333
552.6621,5.0,9.0,16.333333333334,41.333333333334,9.9128746031746,10.3947560544218
553.006,3.666666666667,6.0,8.666666666667,39.0,5.76990841269841,6.36062551020408
553.3499,8.666666666666,11.666666666666,17.666666666666,43.666666666666,9.34110341269842,10.4555693877551
553.6938,4.0,8.666666666667,15.666666666667,42.333333333334,8.0556665079365,8.40147897959183
554.0377,6.666666666667,9.0,14.0,41.0,7.95238095238095,8.44897959183673
554.3816,12.0,9.0,21.0,43.666666666667,11.3412698412698,12.1768707482993
554.7255,6.333333333333,6.666666666667,14.666666666667,46.0,10.047619047619,9.92517006802721
555.0694,5.0,8.333333333334,12.666666666667,37.333333333334,6.30960071428571,6.61913666666666
555.4133,9.0,6.0,13.666666666666,36.666666666666,6.4364288888889,6.52373414965987
555.7572,8.333333333333,9.666666666666,15.0,45.0,9.24587460317461,9.9045655102041
556.1011,6.0,8.0,15.0,39.0,7.48422317460317,7.4830975510204
556.445,5.666666666667,11.666666666667,15.666666666667,45.0,9.50014523809523,9.76888959183672
556.7889,7.666666666666,12.333333333333,17.0,49.0,10.7775706349206,10.4147673469388
557.1328,5.333333333334,6.666666666667,15.666666666667,40.333333333334,6.761975,7.17015340136054
557.4767,9.666666666667,8.333333333334,19.0,44.666666666667,9.20650753968254,10.7484959183673
557.8206,5.333333333333,6.666666666667,13.666666666667,40.666666666667,7.1031746031746,7.35374149659864
558.1645,2.333333333333,4.666666666667,14.0,39.0,5.21428571428571,5.69387755102041
558.5084,6.333333333333,4.666666666667,10.333333333333,44.666666666667,5.04761904761905,5.51700680272109
558.8523,5.333333333333,7.666666666666,15.333333333333,40.333333333333,6.65072103174604,7.40124047619048
559.1962,8.333333333333,7.333333333333,11.666666666666,47.666666666666,7.34909777777778,7.34682646258504
559.5401,3.333333333334,7.0,12.333333333334,38.0,5.72228507936507,5.71435435374149
559.884,15.666666666667,11.0,23.0,44.0,10.5954497619048,10.4899884353741
