wl,skin,fat,mm,ml
501,0.16870178808809225,0.0047998853428884315,0.026796810506536806,0.026796810506536806
502,0.1686860328720451,0.004751095554803214,0.026752454078041325,0.026752454078041325
503,0.16835100637167075,0.004739328170904854,0.026697303111586697,0.026697303111586697
504,0.16837070292306913,0.0047043517969636945,0.026669663582563133,0.026669663582563133
505,0.16829482542325813,0.004706205452680613,0.026661085364740607,0.026661085364740607
506,0.16813662761938403,0.004695595191402773,0.02663066727689483,0.02663066727689483
507,0.16804599521635016,0.004719182470013563,0.026638925915746268,0.026638925915746268
508,0.16781060897804403,0.004648881617484083,0.02654646916914983,0.02654646916914983
509,0.16805970819308502,0.004686977686897944,0.0266128834571659,0.0266128834571659
510,0.16805931520326942,0.00461753063770486,0.026552704182185933,0.026552704182185933
511,0.16804805874242607,0.004622044184566201,0.026555100669527713,0.026555100669527713
512,0.16767802195688677,0.004602284413806355,0.02648833111697583,0.02648833111697583
513,0.167557831759712,0.004578052861448898,0.02645122133620843,0.02645122133620843
514,0.1672988750601934,0.004552575670317166,0.026394408875616147,0.026394408875616147
515,0.16722120248996608,0.004583736968077809,0.02641096458281599,0.02641096458281599
516,0.16730541939089488,0.004540600238660504,0.026384918992332206,0.026384918992332206
517,0.16699559130983319,0.004513738975759799,0.02632008202874587,0.02632008202874587
518,0.16721855247196707,0.004480969089616085,0.02632163310396292,0.02632163310396292
519,0.16692272479134918,0.004495507745663902,0.026294518460644543,0.026294518460644543
520,0.1666203007848039,0.004460813105436157,0.026223891974758457,0.026223891974758457
521,0.16688886301826567,0.004446986028867601,0.026247964060955413,0.026247964060955413
522,0.16641315503667872,0.0044292481921637305,0.02616876287346063,0.02616876287346063
523,0.16673717376638011,0.004428438254024292,0.026211547832049355,0.026211547832049355
524,0.16636298071528696,0.004376050548591871,0.026115971197256813,0.026115971197256813
525,0.1663859597288658,0.004406538895415278,0.026145451617961016,0.026145451617961016
526,0.16615633333605925,0.004387089179075879,0.0260977944809684,0.0260977944809684
527,0.16601566727159764,0.004365307809473295,0.02606005768563497,0.02606005768563497
528,0.16609960724278633,0.004355471921956643,0.026062808063185075,0.026062808063185075
529,0.16579780394647917,0.004353200327883516,0.026020337046911493,0.026020337046911493
530,0.16598521183775647,0.004367282432601593,0.026057680156316897,0.026057680156316897
531,0.16610084945416997,0.0043356941191035805,0.026045850160598228,0.026045850160598228
532,0.1653972528676898,0.004341184082891749,0.025956174920054472,0.025956174920054472
533,0.16533617446764037,0.004304436827379874,0.02591616261003172,0.02591616261003172
534,0.16521826423978925,0.004271689489229464,0.025871986019177232,0.025871986019177232
535,0.16539649805038634,0.004272224069675363,0.025896368893937656,0.025896368893937656
536,0.1654744985901057,0.004228760261821525,0.025869206620682112,0.025869206620682112
537,0.16518597443841845,0.004224237881169645,0.025826570009623444,0.025826570009623444
538,0.16526301465173127,0.004252378446104811,0.025861272756281417,0.025861272756281417
539,0.1647659251971219,0.00419342203499939,0.02574351548437578,0.02574351548437578
540,0.16500076801978436,0.004164990809409815,0.025750417980338062,0.025750417980338062
541,0.16515184842739083,0.004208528637154267,0.025808388835106257,0.025808388835106257
542,0.16424222695077687,0.004176412692110054,0.02565850398439411,0.02565850398439411
543,0.16450296117403415,0.0041616055905592505,0.025680677409084182,0.025680677409084182
544,0.16439636192936946,0.004183622844926277,0.02568543321917934,0.02568543321917934
545,0.16423687130089598,0.004139343586107329,0.025625691316811604,0.025625691316811604
